post_id,fact_check_id
27171,19433
27171,41195
27171,102246
11455,15245
11455,19433
11455,41195
11455,102246
10976,15397
21248,15472
11371,15682
28025,15776
28025,102905
28025,103448
10240,15776
10240,102905
10240,103448
12331,15776
12331,102905
12331,103448
11975,15781
11975,68337
2175,15784
24028,15784
1464,15788
510,15839
513,15839
12600,15839
3267,15908
3267,91944
8786,15908
8786,91944
15789,15970
15789,62388
15307,15970
15307,62388
15790,15970
15790,62388
26314,15970
26314,62388
18356,15994
18356,21711
18356,68575
18356,106154
18356,132124
11965,16033
11966,16033
11967,16033
17382,16033
27645,17368
27645,150293
2258,17530
2258,25903
26974,17530
26974,25903
12081,17563
12081,34734
19656,17633
16601,17639
16601,106412
10403,17639
10403,106412
3778,17716
799,17934
799,114260
4390,17934
4390,114260
11261,17934
11261,114260
563,18010
563,47489
563,70000
16634,18010
16634,47489
16634,70000
21194,18010
21194,47489
21194,70000
11059,18212
21067,18212
19667,18384
5466,18449
5466,49082
23043,18832
23044,18832
23045,18832
18344,18841
1155,18876
18610,18972
18610,21452
10911,19033
10911,142955
17737,19590
17737,57945
17737,140587
17737,144435
11073,19720
11073,103955
10421,20097
1127,20654
19255,20654
6482,20752
6546,20752
21242,20793
5380,20801
129,20820
24720,20932
80,21053
78,21054
2257,21055
19665,21055
20388,21055
1164,21058
1164,34522
11421,21058
11421,34522
11733,21058
11733,34522
13729,21058
13729,34522
1063,21059
1063,114957
10205,21059
10205,114957
139,21060
140,21060
2347,21060
4524,21060
10407,21060
15908,21060
378,21061
2326,21061
7014,21061
19538,21061
8423,21174
10925,21345
10925,34241
3646,21350
3646,39500
13842,21472
11010,21553
2429,21562
2429,42668
12862,21562
12862,42668
21606,21562
21606,42668
12211,21641
12838,21641
21775,21663
21012,21817
15338,22134
4381,22228
19627,22598
19627,141529
19627,143209
7595,22612
21350,22612
2898,102429
2898,141672
5610,102429
5610,141672
11832,102429
11832,141672
776,22725
776,61729
777,22725
777,61729
18382,22725
18382,61729
21174,22725
21174,61729
22014,22725
22014,61729
246,22822
562,22909
11659,22909
11540,22972
18919,22972
2177,23060
5700,23063
15781,23086
15781,135434
1865,23335
18352,23335
19037,23335
2161,23484
2161,23485
11099,23484
11099,23485
11325,23490
11325,23636
11325,136101
1501,23602
1501,112859
1501,197155
1502,23602
1502,112859
1502,197155
19753,23651
13848,23677
16397,23677
259,23791
259,23795
6668,23791
6668,23795
19200,23791
19200,23795
27619,23791
27619,23795
2959,23874
18560,24188
1781,24298
1781,135940
12607,24298
12607,135940
5901,24362
5901,56833
5901,56842
5972,24388
17443,24388
406,24505
18893,24505
11581,24509
11655,24509
2344,24521
10684,24521
15065,24526
15065,104513
27095,24526
27095,104513
19496,24527
19496,104190
19496,106003
19496,136398
333,24529
698,24529
2643,24529
4108,24622
4108,51894
4108,133812
821,24622
821,51894
821,133812
1423,24630
1423,76927
1423,77012
2364,24630
2364,76927
2364,77012
18080,24703
18080,132051
2071,24817
2071,69301
12415,24868
12415,74401
1148,25107
7800,25107
8672,25107
18346,25408
18346,25409
6722,25440
4113,25578
10961,25578
11848,25578
8739,25646
8739,56839
8739,56844
8739,97623
19813,25646
19813,56839
19813,56844
19813,97623
2255,25670
7529,25670
421,25696
421,113903
12050,25696
12050,113903
19536,25696
19536,113903
25541,25701
25542,25701
2242,25712
7102,25718
7370,25718
22096,25751
1254,25757
6990,25763
6990,194850
5479,25763
5479,194850
941,26552
941,58459
941,100475
941,100487
2372,26552
2372,58459
2372,100475
2372,100487
2074,26552
2074,58459
2074,100475
2074,100487
10930,26581
24586,27226
16644,27480
16644,134562
5725,33309
11974,27618
323,27967
507,28012
508,28012
11293,28042
12179,28042
6534,28046
8652,28046
3761,28054
11374,28054
21566,28054
5487,28058
6568,28058
11611,28058
5340,28061
6029,28061
10613,28064
11833,28064
12177,28070
1817,28072
5156,28072
21612,28076
19510,28077
11485,28078
10612,28092
1524,28103
5509,28103
19398,28104
540,28108
17539,28108
18637,28108
511,28111
512,28120
7754,28120
3516,28121
515,28134
8122,28196
22007,29588
6896,29588
5805,28467
5805,132451
20,28606
6928,28608
6951,28608
528,28611
529,28611
4711,28611
4428,28909
7526,28909
6673,28973
6673,28974
6673,195013
21389,28973
21389,28974
21389,195013
18658,29115
3754,29198
12222,29276
19430,29276
20897,29276
21385,29276
6601,29293
2555,29420
10530,29420
747,29542
747,103516
747,103638
747,104009
747,104537
6459,29542
6459,103516
6459,103638
6459,104009
6459,104537
1266,29542
1266,103516
1266,103638
1266,104009
1266,104537
6574,29542
6574,103516
6574,103638
6574,104009
6574,104537
1138,29587
2195,29587
20442,29587
21935,29587
6894,29616
11614,29616
18573,29616
15970,29662
15970,64895
15970,194612
8511,29709
8511,29711
8511,46525
1128,29750
1128,62378
22035,29750
22035,62378
11841,29750
11841,62378
6761,29813
1586,29813
729,29885
11321,29885
13731,29885
19410,29885
11666,29977
11666,61357
14273,29979
14273,64042
117,29998
117,73695
117,197026
12356,30553
12356,34148
12356,34206
18179,30553
18179,34148
18179,34206
19470,30553
19470,34148
19470,34206
7895,30587
19190,30654
19190,30655
6723,30654
6723,30655
10895,30693
25642,30782
25642,72569
6733,30784
6733,136041
21595,30784
21595,136041
1927,30795
1927,103847
1928,30795
1928,103847
1929,30795
1929,103847
1931,30795
1931,103847
2240,30795
2240,103847
567,30800
436,30801
6738,30839
21363,30843
3154,30853
19205,30902
10897,30907
18354,30921
12008,30936
12008,116700
17598,30936
17598,116700
18868,30936
18868,116700
7673,30942
1095,30946
1428,30946
2073,30949
8224,30973
19439,30978
19439,109045
21564,30989
569,31115
569,31130
569,31251
569,31373
15401,31115
15401,31130
15401,31251
15401,31373
10804,31127
2787,31219
6775,31264
20148,31292
21157,31292
5152,31299
6964,31310
1220,31311
6767,31359
11342,31411
11313,31436
11313,31439
11842,31436
11842,31439
18690,31436
18690,31439
24830,31447
17449,31456
2639,31459
2639,31460
3575,31507
15665,31507
18983,31507
27172,31546
10800,31964
11839,31964
21267,31990
21267,32006
18694,32092
27178,32092
21221,32096
7142,32138
19212,32138
6610,32154
14501,32628
19285,32638
12541,32679
28061,32679
4177,32727
6599,32730
12340,32730
18021,32756
24181,32903
5334,32928
5817,32928
4427,33019
5486,33019
6630,33019
17307,33019
28020,33068
28020,74620
21296,33130
4099,33221
2351,33308
7530,33308
10617,33310
19743,33365
7631,33402
5158,33414
23784,33428
15840,33701
20548,33760
8629,33802
8629,33804
11637,33802
11637,33804
14904,33802
14904,33804
19422,33802
19422,33804
21881,33802
21881,33804
22064,33802
22064,33804
21195,33805
21195,33868
21195,139072
19211,33811
1398,33831
1398,39091
15754,33831
15754,39091
16356,33831
16356,39091
19474,33831
19474,39091
19188,33859
15782,33860
15782,38013
15782,83951
15782,89552
15782,129671
15782,200349
16882,33860
16882,38013
16882,83951
16882,89552
16882,129671
16882,200349
5,33862
11506,33875
12290,33875
11663,34057
11663,110237
11664,34057
11664,110237
21378,34070
21378,34138
21378,34218
21378,34222
9434,34070
9434,34138
9434,34218
9434,34222
10307,34105
10307,195261
19413,34105
19413,195261
20995,34105
20995,195261
20147,34106
4109,34112
4109,34227
4109,103598
4110,34112
4110,34227
4110,103598
15365,34112
15365,34227
15365,103598
17852,34122
7194,34164
19581,34177
19581,72816
625,34201
619,34204
3813,34210
18634,34210
21844,34220
21844,47166
23778,34224
23779,34224
702,34228
4525,34228
7193,34239
21036,34239
320,34240
320,34246
10447,34240
10447,34246
26537,34240
2991,34404
2991,41192
21351,34419
21351,34420
21351,63804
13773,34434
991,34441
5903,34441
10303,34441
12329,34441
18889,34441
7862,34452
14998,34458
14999,34458
36,34518
19280,34561
16040,34565
25962,34565
2398,34592
2398,114936
2398,122250
10262,34592
10262,114936
10262,122250
22095,34592
22095,114936
22095,122250
25580,34628
25580,34710
25580,85704
8744,34635
8745,34635
27307,34654
27307,41146
27306,34654
27306,41146
20728,34712
20728,85712
20728,146119
10904,34725
10904,63740
18911,34725
18911,63740
11766,34814
15958,34814
19178,34814
19584,34814
11910,34961
18366,34962
21276,34997
8871,35004
8871,42128
8871,42129
10949,35006
10949,135502
13520,35006
13520,135502
11187,35042
2276,35369
7105,35370
10483,35391
21274,35398
7361,35401
7361,35421
656,35406
11845,35416
643,35433
643,35479
643,35480
17620,35445
21138,35445
8178,35478
8178,199630
13728,35478
13728,199630
2218,35490
110,35594
1985,35600
21823,35600
14827,35630
21216,35630
24630,35663
24848,35663
468,35938
10462,35938
19318,35938
1911,35943
2335,35943
11911,35943
11912,35943
18896,36086
1414,36296
1414,36297
1414,108908
1414,200508
5204,36296
5204,36297
5204,108908
5204,200508
12609,36419
18668,36419
21570,37092
19548,37156
5787,37166
11239,37182
12283,37203
19698,37204
25830,37204
1981,37226
10767,37226
11602,37226
11350,37253
752,37296
19596,37315
24763,37315
19401,37321
15054,37394
11035,37397
5511,37404
7580,37404
17411,37405
19411,37405
19412,37405
6352,37414
1191,37449
19173,37449
14186,37488
26211,37521
674,37607
21550,37607
12191,37721
11512,38043
13640,38043
21806,38043
18053,38968
548,38996
4370,39041
25689,39090
11338,39096
553,39203
10608,39215
2349,39237
23127,39237
7024,39288
11813,39288
1702,39666
6814,39839
24307,39980
1137,39985
1137,72570
1137,200582
12582,39985
12582,72570
12582,200582
21372,39985
21372,72570
21372,200582
10733,40061
1087,40117
7684,40124
7685,40124
2158,40295
2158,199627
9088,40327
9089,40327
17767,40439
16645,40444
14301,40711
17533,40711
635,40783
11603,40783
503,40824
503,89687
11931,40824
11931,89687
2627,40827
7843,40827
818,40857
18686,40857
20702,40857
19573,40866
19573,150480
19573,201211
19574,40866
19574,150480
19574,201211
2039,40936
15362,40936
15363,40936
8761,40951
21057,54887
13774,54887
14927,41022
4475,41098
16611,41099
1230,41162
19635,41162
11498,41164
21212,41169
21940,41169
17917,41176
2541,41177
8762,41178
17676,41185
18078,41185
1494,41190
18715,41213
18716,41213
12216,41222
12216,125598
12216,125609
11977,41336
7912,41494
11562,41515
715,41785
717,41992
6464,41993
6465,41993
19406,41994
5875,42049
6692,42692
6692,69823
19659,42696
1357,42746
3588,42746
17618,42746
25938,43032
8771,43041
8771,43069
8771,64893
5065,43050
93,43061
788,43061
19171,43311
24396,43385
6053,43393
6053,98303
1119,43564
1120,43564
2337,43564
5838,43564
6666,43564
1726,43568
1726,105589
1726,105594
16584,43568
16584,105589
16584,105594
13737,43568
13737,105589
13737,105594
16633,44580
1313,45004
10679,90084
10679,150114
10679,150131
10679,201180
8756,199854
4540,45732
4540,106578
4627,45732
4627,106578
21121,45732
21121,106578
27600,45923
7991,45938
16658,45938
2032,45941
812,46008
7701,46018
7701,46020
19687,46018
19687,46020
18709,46092
4726,46463
5837,46463
6656,46463
4943,46907
11858,47036
18850,47036
16589,47047
817,47051
18718,47116
18718,133965
18899,47254
26672,47297
15760,47395
21192,47395
21904,47395
820,47396
3041,47396
19365,47396
22029,47429
25474,47429
7472,47488
7472,129299
7472,133466
7353,47710
7269,47760
5707,47877
8753,47877
12212,47877
12308,47877
12317,47877
15832,47986
11101,48005
10929,48016
11487,48045
1141,48050
21811,48050
18990,48051
18990,102767
16643,48051
16643,102767
166,48051
166,102767
7362,48060
24627,48062
617,48145
21561,48145
15758,48187
19247,48187
5831,48343
18492,48969
46,49035
2369,49035
10222,49059
10223,49059
2060,49134
19043,49141
8151,49179
11623,51658
19592,51658
1518,51735
13738,51735
28010,51735
5845,51740
21562,51864
828,51919
828,51921
828,51922
6776,51919
6776,51921
6776,51922
13101,51919
13101,51921
13101,51922
11497,52200
17919,52200
24697,52398
24788,52398
24789,52398
2425,52838
6259,52838
21361,52838
2785,53129
2785,128676
19404,53469
3166,54879
19495,55062
4488,55072
21578,55072
25603,55099
10229,55174
10229,85794
10229,85796
522,55383
15330,55383
11231,55438
19663,55452
21156,55452
21299,55452
2593,69135
2595,69135
3022,121564
21604,55933
19338,55971
19338,99280
1062,55980
6209,56010
6209,56019
6209,196740
11860,56010
11860,56019
11860,196740
2088,56016
2088,56017
2088,56018
2088,196091
27784,56047
27785,56048
10839,56118
11642,56120
1716,56127
20040,56127
21885,56127
311,56129
311,149207
1864,56132
1864,84272
21244,56132
21244,84272
19407,56139
19407,119495
2805,56143
1993,56192
1993,108168
10416,56257
14002,56300
20581,56312
15750,56536
16640,56801
922,56835
923,56835
3317,56835
27398,56887
27398,119203
4392,56889
18369,56889
5840,56910
5840,128741
5840,135503
8516,57051
8102,57058
6495,57061
5112,57262
12300,57384
2292,57434
8508,57434
25617,57434
19766,57435
800,57468
800,135903
2054,57520
19482,57523
15974,57663
19655,57707
11229,57709
1786,57715
12358,57715
17642,57715
2035,57717
5477,57722
16278,57722
3584,57724
6034,57724
488,57725
10698,57725
21920,57725
1956,57726
20587,57726
11012,57727
11013,57727
10354,57728
10579,57745
25726,57757
25726,194849
1812,57791
1812,113906
12037,57791
12037,113906
27181,57791
27181,113906
2012,57905
16396,57905
4789,57912
4789,57913
19425,57938
27267,57965
27267,106542
10625,58088
15280,58099
24335,58116
1038,58128
2641,58128
1842,58205
1842,143199
23892,58205
23892,143199
23893,58205
23893,143199
24137,58206
24137,68497
24137,85463
24138,58206
24138,68497
24138,85463
14680,58207
17474,58207
5889,58274
12647,58274
11812,58295
11812,108205
1314,58596
5967,58596
21360,58596
5089,105457
3217,61137
6455,61155
19360,61384
19360,132170
16467,61384
16467,132170
3924,61393
10685,61399
12797,61421
4218,61458
12762,69767
13442,69767
3853,62839
1733,62005
2430,62010
2430,117679
2431,62010
2431,117679
2432,62010
2432,117679
2433,62010
2433,117679
21158,62010
21158,117679
699,62043
2321,62043
5382,62043
7381,62043
16653,62043
19628,62057
11584,62089
11585,62089
18720,62089
1992,62210
26795,62223
26479,62380
8721,62381
2167,62382
2168,62382
2169,62382
20979,62383
2008,62386
5897,62391
11189,62391
21599,62396
21616,62396
8869,62402
2053,62404
14751,62404
14975,62404
1222,62406
6384,62406
10835,62406
2075,62409
2311,62410
1717,62411
11177,62414
15226,62414
19206,62414
9141,62416
18773,62419
5372,62422
19619,62440
19619,129422
21146,62440
21146,129422
7834,62449
6222,62676
947,62679
947,62711
10940,62679
10940,62711
11422,62679
11422,62711
21563,62679
21563,62711
10951,62876
16376,62876
21507,62876
25974,62936
279,62981
14126,62981
15863,62989
1160,63031
2327,63031
7199,63050
10560,63100
12608,63100
28044,63100
5369,63102
21199,63102
2437,63215
3078,63273
109,63470
1136,63470
1280,63470
2179,63470
12324,63670
3652,63716
2062,63726
10917,63726
12215,63729
1954,63746
7357,63746
21163,63746
26335,63875
5768,128769
1819,64113
1819,97593
21950,64113
21950,97593
1653,64475
11121,64515
21369,64515
18905,64584
11192,64740
5066,64754
14919,64754
1113,64814
1113,64817
1113,196361
7354,64814
7354,64817
7354,196361
4662,64991
17478,65223
2858,65275
6418,65309
6672,65309
11488,65309
1151,65430
5851,65430
8372,65430
983,65446
11329,65446
11844,65446
27126,65446
27127,65446
16801,65473
19438,65474
1187,65490
1187,66016
5254,65490
5254,66016
6659,65490
6659,66016
1473,65582
21773,65582
1493,65908
1493,111761
26238,66405
1034,66599
19497,66633
19497,196467
19700,66633
19700,196467
19493,66633
19493,196467
12769,66754
1102,66759
1102,86412
1103,66759
1103,86412
5703,66759
5703,86412
21014,66937
21014,149230
5834,66937
5834,149230
11672,67277
19251,67277
6481,67391
19312,67401
2102,67612
2103,67612
12152,67612
1937,67630
1937,200122
19221,67646
1122,68152
1154,68179
4167,68179
284,68430
21370,68430
23879,68528
3013,68607
11810,68639
18016,68674
11645,68687
23377,68709
7815,68740
7815,102860
7815,103347
7816,68740
7816,102860
7816,103347
8333,68740
8333,102860
8333,103347
17596,68797
8439,68832
1054,68873
742,68899
5046,68899
15237,68899
16866,68917
24713,68971
26503,68984
1121,69001
19939,69016
12601,69031
12601,104547
19499,69031
19499,104547
21368,69104
1987,69124
1991,69124
17538,69125
4089,69145
4089,103745
4089,104475
4089,104497
4090,69145
4090,103745
4090,104475
4090,104497
16494,69149
2080,69163
26535,69163
27615,69163
2121,69166
17746,69166
5379,69188
10275,69188
19180,69204
2068,69223
7053,69223
10921,69223
11616,69223
28000,69223
16041,69228
19433,69276
2081,69316
1426,69588
1426,105789
12064,69629
12064,72273
12064,132545
13103,69629
13103,72273
13103,132545
13105,69629
13105,72273
13105,132545
19282,69629
19282,72273
19282,132545
25583,69629
25583,72273
25583,132545
26156,69629
26156,72273
26156,132545
24719,69718
24841,69718
24842,69718
1026,69770
5921,69801
10320,69801
26668,69801
18081,69801
1028,69804
1028,69822
16585,69837
19444,69847
19444,104402
16713,69893
17718,69893
18917,69893
2366,70003
13632,70004
1779,70038
26310,71323
6553,71680
6553,76405
6553,126544
10736,71718
10736,88181
23913,71882
26374,71992
26378,71992
21255,71994
21256,71994
21257,71994
3047,71995
12285,71995
22084,71995
24052,71996
1782,72068
1782,90956
6115,72068
6115,90956
24092,72120
17532,72151
24193,72151
19695,72153
19696,72153
12065,72154
12065,72276
12065,72285
12067,72154
12067,72276
12067,72285
25661,72154
25661,72276
25661,72285
3076,72180
10532,72185
1049,72197
7332,72197
23760,72203
12000,72216
5370,72221
15135,72305
586,72320
12716,72321
26155,72390
105,72401
3458,72512
7273,72512
2007,72686
295,72710
295,72711
6808,72710
6808,72711
13850,72710
13850,72711
20711,72710
20711,72711
22072,72710
22072,72711
19244,72809
11775,72842
12182,72844
12660,72844
6521,73107
369,73961
15358,73961
16648,73961
21145,73961
25926,73995
8693,73999
17610,74010
23076,74012
23078,74040
23079,74040
21260,74103
10715,74129
1248,74136
1248,74167
1248,74717
1248,102677
1248,113441
12292,74136
12292,74167
12292,74717
12292,102677
12292,113441
1183,74145
16602,74206
2067,74289
2067,74890
5027,74376
18784,74376
15875,74452
19609,74452
25499,124480
2546,74627
21179,74683
1909,74693
2289,74693
9100,74696
1632,74740
1632,74741
1233,74900
1233,74904
21147,74900
21147,74904
28014,74900
28014,74904
15784,75379
5926,75384
10428,75384
17112,75510
12523,75552
588,75560
17401,75654
17617,75654
27595,75742
5328,75775
12519,75775
9718,75777
3817,75970
3817,116749
27739,75970
27739,116749
19326,76016
1252,76084
5896,76084
6182,76603
6687,76606
6491,76610
21143,76610
1938,76713
21353,76713
3151,76936
8339,76936
10244,76961
10244,76963
19,76996
5702,77199
19252,77219
6535,77378
6536,77378
18788,77419
17939,120332
12790,78002
12790,78005
3543,78002
3543,78005
544,78021
544,78022
542,78025
543,78025
16493,78025
2226,78034
14735,78043
22021,78043
20152,78053
21246,78053
17339,78068
21269,78079
12799,78090
17476,78096
19602,78261
7806,78264
7806,91130
10915,78264
10915,91130
2371,78357
5706,78444
5706,78446
6895,78444
6895,78446
19306,78549
12271,79175
21386,79175
21387,79175
13152,79690
1990,81727
14045,82186
21144,82260
13056,82308
13528,82308
18663,114833
24114,82940
24115,82940
6486,82945
1206,82947
10450,82972
1660,83128
6755,83128
19204,83128
26128,83648
26451,83648
4812,83710
11843,83710
7243,83725
12284,83923
14829,83923
17480,83923
21571,83951
21571,89552
21571,200349
1246,83969
1247,83969
12603,83969
12387,83971
12454,83971
12540,83971
21573,83971
12178,83980
7858,83981
21010,83981
7020,84244
23430,84246
23431,84246
25552,84246
25553,84246
25554,84246
222,84288
222,131936
5467,84288
5467,131936
16632,84288
16632,131936
14406,84310
20119,84310
819,85191
819,131311
819,153538
1149,85457
3388,85457
6796,85457
10484,85457
20585,85585
19263,85598
19182,85685
1078,85798
1078,200479
2014,85798
2014,200479
4569,85905
10605,85937
11621,85937
11505,85940
21064,85940
21200,85991
19254,86261
1429,86265
2304,86288
4509,86303
7163,86307
21272,86373
143,86447
21054,86447
21153,86447
1392,86451
11108,86451
25959,86451
14823,86542
5818,86554
11597,86661
21023,86661
16957,86695
16957,97629
8692,86695
8692,97629
286,86695
286,97629
10836,86707
10836,149948
758,86707
758,149948
1116,86722
7801,86849
1125,86955
525,87096
26982,87153
26982,90059
14296,87153
14296,90059
19362,87349
19189,87351
19189,102303
19591,87351
19591,102303
1857,87353
1857,138564
1858,87353
1858,138564
12275,87353
12275,138564
5836,87357
5836,116438
7062,87357
7062,116438
8716,87357
8716,116438
741,87361
18538,87391
21191,87391
12019,87396
2352,87447
10595,87557
10595,125144
10595,200066
15359,87651
9715,87661
19170,87674
1629,87692
19503,87692
11606,87724
8667,87757
11648,87757
21229,87757
5426,87794
14440,88017
14440,197750
19434,88083
19434,104366
19012,88083
19012,104366
802,88085
802,113101
802,125130
10607,88085
10607,113101
10607,125130
24846,88087
24846,120315
628,88092
3818,88173
11919,88173
9078,88184
20758,88184
8630,88468
11587,88468
14488,88468
19379,88468
316,88508
13764,88537
1290,88749
19579,88749
27973,88749
10341,102493
18581,102493
15753,89045
15096,89308
26744,89573
4326,89573
26748,89573
18351,89689
1422,89762
1422,89764
1422,89765
24961,89907
25144,89907
21934,89920
21343,89937
28063,89970
11963,90111
14658,90111
26172,90111
26173,90111
3324,90130
17985,90130
27633,90130
23269,90293
19429,90318
19694,90318
14130,90351
8982,90455
8982,129496
8982,155490
10888,90455
10888,129496
10888,155490
21956,90455
21956,129496
21956,155490
15052,90485
16224,90485
2109,90489
2109,117989
27573,90489
27573,117989
11102,90683
1483,90809
17918,90809
28009,90809
24015,91103
24015,105771
3822,91434
3822,91444
3822,197900
19688,91434
19688,91444
19688,197900
14832,91782
24587,91973
24587,118254
24786,91973
24786,118254
2048,92118
25472,92118
19576,92128
19576,126760
780,92587
21278,92616
21347,92616
27591,92616
3581,92772
3581,99171
3581,200081
19517,92772
19517,99171
19517,200081
19732,92831
19732,103690
19732,155529
2186,92838
2186,128066
18182,92838
18182,128066
25649,92838
25649,128066
21280,92845
21280,143362
19481,92970
8663,93147
8663,121275
13834,93147
13834,121275
17867,93147
17867,121275
430,93318
12273,93318
5839,93391
5839,121945
5839,136042
11316,93438
13521,93487
12444,93491
12444,143369
12413,93491
12413,143369
15127,93491
15127,143369
18364,93518
2,93524
4433,93524
11867,93524
21580,93524
19701,93527
14936,93529
19456,93530
21262,93530
18854,93532
21056,93532
19175,93536
19660,93536
19231,93560
2414,93561
18439,93602
597,93628
3803,93628
9480,93628
11861,93628
19017,93628
19466,93641
2784,93675
16036,93677
21771,93677
3511,93679
13432,93736
26612,94050
26556,94050
21569,94106
7018,94108
1504,94118
9096,94144
15884,94149
6508,94154
19264,94156
15186,94165
16657,94168
12730,94170
7015,94175
7016,94175
1031,94183
19352,94243
1162,94503
10695,94503
17109,94518
10426,94762
25157,94958
19193,95008
1189,95089
1289,95180
15749,95252
26576,95258
18490,95264
6321,95265
11008,95265
11339,95265
6437,95266
2251,95525
19186,95525
372,97170
372,155277
27046,97170
27046,155277
15864,97412
17477,97413
4679,97487
11868,97491
11868,123391
21166,97491
21166,123391
21245,97491
21245,123391
364,97631
1454,97642
11317,97643
27054,97782
8344,97789
1609,98038
1609,119479
1609,119480
3950,98206
3951,98206
5758,98252
11303,98252
19875,98252
1311,98316
15880,98317
25628,98317
5621,98966
7877,99042
19242,99042
3842,99083
3842,201646
22118,99119
9077,99193
16469,99244
27571,99258
23086,99852
23772,99854
23253,99862
16101,99867
24123,99867
23785,99870
10692,99882
23435,99898
1448,99903
16254,99903
22883,99903
16258,99915
11299,99917
23749,99938
5373,99939
16256,99983
3336,100014
7680,100412
16075,100416
6868,100432
10606,100474
1871,100482
16647,100482
25646,100740
25646,117345
5705,100741
7899,100741
10616,100741
165,100747
1607,100763
1608,100763
5018,100763
21957,100763
303,100782
304,100782
6184,100807
1612,101052
17040,101052
21263,101052
2097,101198
1064,101234
12604,101234
18687,101234
3647,101238
10418,101238
5324,101603
164,101637
7883,101679
11260,101679
19480,101710
16637,101728
21003,101728
745,101729
14755,101729
26115,101879
1250,101891
2502,101892
27133,101892
27579,101892
13725,101946
10243,102455
10243,200221
5899,102456
11636,102456
17587,102456
16462,102457
19477,102458
19477,102479
19477,102481
19477,126913
7150,102501
15113,102508
28011,102511
18692,102532
1249,102540
27799,102540
13761,102549
4576,102632
4577,102632
12572,102632
478,102674
9758,102709
3403,102712
1057,102720
6334,102720
15846,102723
17833,102723
26440,102728
739,102730
16390,102730
14874,102735
15222,102735
12739,102736
12385,102737
3315,102741
5868,102741
19685,102744
2400,102745
13959,102745
22042,102745
1013,102757
3406,102757
5570,102760
1879,102768
16638,102768
526,102769
10942,102769
18890,102769
1174,102773
2253,102823
2253,103529
2253,104014
10242,102823
10242,103529
10242,104014
18723,102823
18723,103529
18723,104014
1623,102880
5914,102912
10302,102912
11415,102912
7284,102914
7285,102914
7286,102914
7287,102914
14704,102914
19265,102914
26078,102967
26111,102967
19198,102998
1037,103014
23910,103026
5754,103070
10400,103070
19316,103070
3764,103117
8220,103179
26475,103180
26302,103181
1957,103240
2225,103295
14966,103299
19835,103299
12343,103313
19699,103313
26269,103320
894,103340
19341,103362
19554,103411
19273,103452
664,103455
24831,103455
